Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33,Sensor_34,Sensor_35,Sensor_36,Sensor_37,Sensor_38,Sensor_39,Sensor_40,Sensor_41,Sensor_42,Sensor_43,Sensor_44,Sensor_45,Sensor_46,Sensor_47,Sensor_48,Sensor_49,Sensor_50,Sensor_51,Sensor_52,Sensor_53,Sensor_54,Sensor_55,Sensor_56,Sensor_57,Sensor_58,Sensor_59,Sensor_60,Sensor_61,Sensor_62,Sensor_63,Sensor_64,Sensor_65,Sensor_66,Sensor_67,Sensor_68,Sensor_69,Sensor_70,Sensor_71,Sensor_72,Sensor_73,Sensor_74,Sensor_75,Sensor_76,Sensor_77,Sensor_78,Sensor_79,Sensor_80,Sensor_81,Sensor_82,Sensor_83,Sensor_84,Sensor_85,Sensor_86,Sensor_87,Sensor_88,Sensor_89,Sensor_90,Sensor_91,Sensor_92,Sensor_93,Sensor_94,Sensor_95,Sensor_96,Sensor_97,Sensor_98,Sensor_99,Sensor_100,Sensor_101,Sensor_102,Sensor_103,Sensor_104,Sensor_105,Sensor_106,Sensor_107,Sensor_108,Sensor_109,Sensor_110,Sensor_111,Sensor_112,Sensor_113,Sensor_114,Sensor_115,Sensor_116,Sensor_117,Sensor_118,Sensor_119,Sensor_120,Sensor_121,Sensor_122,Sensor_123,Sensor_124,Sensor_125,Sensor_126,Sensor_127,Sensor_128,Sensor_129,Sensor_130,Sensor_131,Sensor_132,Sensor_133,Sensor_134,Sensor_135,Sensor_136,Sensor_137,Sensor_138,Sensor_139,Sensor_140,Sensor_141,Sensor_142,Sensor_143,Sensor_144,Sensor_145,Sensor_146,Sensor_147,Sensor_148,Sensor_149,Sensor_150,Sensor_151,Sensor_152,Sensor_153,Sensor_154,Sensor_155,Sensor_156,Sensor_157,Sensor_158,Sensor_159,Sensor_160,Sensor_161,Sensor_162,Sensor_163,Sensor_164,Sensor_165,Sensor_166,Sensor_167,Sensor_168,Sensor_169,Sensor_170,Sensor_171,Sensor_172,Sensor_173,Sensor_174,Sensor_175,Sensor_176,Sensor_177,Sensor_178,Sensor_179,Average Sensor_0,% of Total Area_0,Orientation_0,Panel_0,Panel_1,Panel_2,Panel_3,Panel_4,Panel_5,Panel_6,Panel_7,Panel_8,Panel_9,Panel_10,Panel_11,Panel_12,Panel_13,Panel_14,Panel_15,Panel_16,Panel_17,Panel_18,Panel_19
8.71,19.78,26.97,35.29,38.81,37.24,40.79,38.41,37.57,39.43,39.59,38.96,39.86,39.17,40.3,38.06,39.9,36.69,16.38,34.32,37.33,40.32,39.39,41.27,43.05,41.87,42.21,42.04,37.61,41.37,40.79,42.9,43.3,42.16,42.13,40.8,26.32,38.76,38.09,40.49,42.92,42.74,42.03,43.74,41.59,41.6,43.09,43.28,42.31,43.64,44.11,44.14,44.51,43.69,37.17,36.79,42.04,42.89,41.1,43.78,43.54,43.52,43.53,43.21,43.11,43.03,43.69,42.58,43.29,43.94,43.84,42.91,35.37,36.55,42.2,42.41,41.95,43.16,44.53,43.32,42.85,43.25,44.06,41.97,43.87,43.94,43.4,44.04,43.23,42.89,37.29,40.21,42.97,42.71,43.28,41.74,43.3,44.34,43.09,42.88,42.79,43.2,41.44,44.55,43.48,44.78,44.84,42.81,36.35,38.12,42.76,43.85,43.65,43.54,42.79,43.31,43.68,42.16,43.46,43.17,42.71,43.3,44.14,44.55,42.87,43.23,30.82,39.86,42.01,42.65,43.66,41.13,43.37,42.64,40.54,42.13,41.7,41.23,43.62,41.28,43.77,44.46,44.54,41.77,23.54,35.13,39.87,41.05,40.87,41.06,40.51,41.95,41.7,40.46,39.92,41.26,39.73,42.75,42.16,40.68,41.35,41.14,2.29,21.79,28.18,37.8,38.88,39.02,40.11,37.58,39.78,39.97,39.67,39.44,40.25,40.24,41.12,39.47,41.19,37.75,40.371944,0.716667,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9.32,18.45,30.03,32.29,35.83,38.34,38.16,38.63,36.5,38.04,39.86,38.46,39.36,36.14,39.16,40.53,39.68,33.58,22.93,33.55,36.5,39.58,39.18,39.75,41.4,41.5,41.11,39.16,42.01,40.1,41.58,42.68,42.83,43.09,40.45,41.94,29.27,33.87,40.23,41.8,43.32,43.73,42.01,44.18,43.47,42.31,41.02,41.58,42.68,42.56,43.98,44.12,44.35,43.73,33.55,39.2,40.57,40.56,43.47,43.82,44.1,42.48,44.24,43.39,42.93,44.08,43.92,43.41,44.43,44.3,44.65,43.06,38.78,38.72,40.24,42.27,44.26,42.25,43.26,40.96,44.17,43.84,42.73,43.46,44.29,43.56,42.83,44.09,44.68,42.03,35.99,39.73,40.5,42.81,42.41,42.67,42.53,42.61,43.24,43.3,43.57,43.89,42.45,43.33,44.87,44.75,44.53,44.18,35.96,38,40.57,43.56,43.01,43.85,42.93,43.34,42.27,41.84,41.16,42.63,42.72,41.8,44.01,44.75,43.98,42.34,34.63,39.65,40.82,42.9,43.13,39.77,41.67,42.35,41.64,40.57,40.48,39.62,42.45,42.6,43.47,43.17,44.51,43.64,16.72,34.66,39.95,42.2,40.75,41.85,41.91,38.89,40.29,40.56,40.26,42.1,41,42.4,41.97,43.26,40.51,41.55,7.2,19.84,31.56,37.66,36.7,38.7,36.8,38.94,39.14,40.06,40.59,39.24,40.9,41.22,40.18,40.82,37.93,33.78,40.209611,0.7,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9.69,28.23,30.42,36.28,37.32,33.47,34.12,27.67,17.16,8.06,21.31,34.38,38.14,39.02,38.11,36.13,38.52,35.59,30.94,14.91,34.43,38.58,40.73,42.93,42.07,42.97,41.55,36.22,34.06,26.79,37.82,41.8,42.16,41.62,42.91,41.8,41.08,41.64,40.49,34.93,38.13,40.79,43.65,43.5,42.53,44.42,43.04,42.57,39.44,35.91,35.35,41.51,43.61,44.1,44.18,42.99,43.53,41.96,41.46,38.69,39.36,41.56,41.54,43.42,43.5,44.67,43.14,44.19,42.75,39.11,38.34,41.34,42.05,43.09,43.66,43.13,43.15,42.53,43.2,34.1,40.45,40.84,42.32,42.28,41.97,43.84,42,42.36,42.64,36.21,40.31,40.51,39.37,41.54,42.97,41.93,43.15,43.17,42.55,38.34,41.38,42.16,41.08,42.49,41.66,43.71,40.54,40.54,41.2,38.74,40.27,41.63,41.97,42.98,41.99,43.16,43.44,42.49,41.04,36.35,39.44,41.78,42.88,42.28,42.69,43.41,41.86,42.89,40.58,38.09,39.62,42.92,43.85,43.24,44.38,43.18,43.68,43.78,41.67,39.12,41.11,42.17,42.57,44.25,43.45,44.27,43.45,43.46,42.83,39.75,40.92,42.9,44.43,42.42,44.34,44.63,43.57,42.18,42.99,40.64,38.23,43.01,43.95,44.53,44.37,44.69,43.96,43.84,41.59,37.61,37.07,42.17,43,44.28,44.03,43.48,43.2,43.26,41.52,30.26,40.214056,0.722222,15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10.4,22.27,33.98,35.92,35.78,36.1,30.67,20.65,14.76,3.8,21.8,37.5,36.95,38.55,39.95,39.62,38.72,37.24,19.91,14.42,36.2,39.76,41.64,41.5,41.45,42.91,41.36,38.12,36.42,32.63,37.32,41.2,40.74,43.07,41.58,42.56,40.42,39.75,39.62,36.1,38.63,42.51,43.48,44.21,42.9,44.54,42.15,42.34,41,38.24,38.55,41.37,43.24,43.24,44.06,43.82,43.29,40.92,41.05,38.9,37.19,42.19,44.12,44.19,42.99,44.29,43.62,42.92,43.2,37.68,39.19,41.75,41.91,41.89,41.32,41.95,43.23,44.51,43.68,39.47,41.26,41.97,41.59,43.86,42.97,43.09,42.31,43.4,39.57,38.94,39.57,42.63,42.61,40.98,42.26,42.74,43.81,41.94,42.68,38.53,39.49,41.29,41.04,41.46,42.83,43.95,41.85,42.87,41.12,34.54,41.13,41.24,42.43,43.07,42.55,42.03,42.56,42.43,41.68,37.77,40.74,41.96,43,42.17,42.12,43.6,43.7,41.86,41.78,38.58,39.42,42.13,43.57,42.8,43.7,44.22,42.68,42.55,41.97,39.6,41.97,41.75,44.06,44.43,43.84,43.5,44.26,42.18,41.94,39.08,38.77,43.07,44.52,44.68,44.74,44.46,42.79,43.49,42.26,39.09,40.57,43,44.09,44.37,43.53,43.9,43.09,43.42,42.45,33.6,35.53,40.51,43.52,43.98,43.65,43.82,43.39,43.15,40.65,31.43,40.198833,0.705556,30,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
33.41,39.95,42.95,42.84,43.16,43.21,42.15,42.21,40.47,34.06,33.44,42.25,43.33,43.52,42.21,44.05,43.86,43.58,42.9,39.73,37.77,41.12,42.74,43.86,44.43,43.57,44.29,43.89,42.4,40.71,38.93,42.01,41.05,43.23,42.59,43.77,43.84,43.37,40.97,38.97,39.12,41.92,43.46,43.78,43.33,43.85,43.11,42.97,41.18,40,39.37,41.89,42.5,43.62,44.25,42.41,43.39,43.17,41.08,41.18,37.11,40.89,42.9,44.02,43.42,43.69,43.87,42.03,41.06,40.95,38.3,39.75,42.6,43.04,42.45,44.45,43.55,41.07,40.48,41.45,37,41.18,43.07,42.64,43.97,43.23,42.01,39.71,41.13,41.71,36.55,42.77,43.85,43.54,41.71,41.46,42.68,40.48,39.79,41.55,39.18,42.65,43.89,41.22,41.89,41.46,43.73,41.08,39.7,41.68,37.15,43.31,42.76,44.09,43.57,43.74,42.49,43.08,41.59,39.09,37.45,41.55,42.85,42.51,42.91,43.69,44.42,43.98,41.45,40.49,34.92,42.37,39.91,42.53,41.8,43.29,44.37,42.21,42.65,37.02,35.23,36.87,41.08,42.68,42.17,44,41.92,42.84,42.08,38.52,24.63,35.23,40.08,40.76,42.12,40.78,42.59,42.35,38.93,37.28,17.71,30.74,36.39,38.8,40.06,41.07,37.2,37.64,37.33,22.11,4.83,24.84,26.45,31.74,35.4,36.94,36.2,32.76,20.84,13.89,40.246,0.716667,45,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
15.7,22.15,32.25,37.42,36.26,34.74,31.97,27.47,11.1,1.75,29.7,36.95,38.07,39.13,36.47,39.18,38.88,33.06,26.19,20.22,34.24,40.99,41.42,39.39,41.07,39.9,41.68,39.92,37.9,25.48,37.81,41.39,42.58,43.45,42.43,41.02,42.81,40.99,39.45,30.02,40.7,41.85,42.74,42.53,43.79,43.68,41.75,42.35,41.37,36.38,37.85,40.17,42.39,43.98,43.7,43.64,42.52,41.23,39.79,35.24,39.3,41.51,42.08,43.72,44.22,42.52,44.13,44.35,42.27,39.39,39.25,42.41,42.82,43.72,44.37,41.87,44.03,43.14,42.42,38.13,37.77,40.89,41.56,42.42,44.49,42.73,43.68,42.09,41.72,38.89,39.76,40.64,43.92,43.78,43.31,44.38,43.08,43.82,40.14,38.64,40.59,41.6,43.04,41.51,43.89,44.26,42.84,42.34,42.45,39,41.78,41.39,42.33,42.44,42.77,44.27,41.32,42.79,40.57,39.26,40.58,41.92,41.62,43.28,42.4,43.29,42.73,41.82,39.97,38.18,40.02,40.62,41.2,40.7,43.82,42.41,42.57,42.97,40.38,37.68,40.64,42.13,42.97,44.16,42.72,41.93,43.95,42.43,43.24,37.49,39.11,41.64,43.79,43.77,43.46,43.23,43.07,43.03,40.98,37.44,35.79,40.22,43.55,42.71,43.61,42.97,44,43.17,42.58,35.37,34.82,41.92,42.35,42.74,42.18,42.11,42.56,42.77,39.65,30.16,40.047889,0.7,60,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
28.79,39.97,41.3,41.4,41.64,42.39,42.09,42.07,41.7,37.07,32.87,42.36,43.49,43.41,42.27,43.4,43.2,43.64,42.26,36.19,37.5,41.69,43.42,43.3,43.57,43.45,42.72,43.71,43.46,38.01,38.36,42.15,41.79,42.51,42.42,43.47,43.64,42.93,42.18,40.06,37.96,39.26,42.71,43.12,44.17,43.06,42.76,42.68,40.87,40.09,37.45,40.41,43.12,43.79,44.02,41.34,42,42.52,42.66,40.72,37.19,40.91,41.79,42.49,43.96,42.1,43.45,40.07,40.86,41.07,38.98,38.23,42.17,43.47,44.39,42.84,40.73,42.76,37.68,36.87,39.06,42.45,43.84,42.85,43.37,42.42,44.28,42.61,39.51,39.32,37.12,42.64,44.13,42.15,43.96,43.3,41.19,41.34,38.07,39.76,35.72,42.95,42.93,43.69,42.69,42.73,43.73,42.27,41.74,38.01,38.71,41.19,42.89,42.72,41.2,43.94,42.85,43.48,41.56,39.9,39.58,41.28,42.4,42.98,41.82,43.89,42.88,41.6,42.67,40.26,35.7,40.68,41.34,43.13,43.47,42.79,44.25,41.63,42.87,38.31,29.99,37.51,40.62,42.26,40.84,43.47,42.97,40.81,41.06,39.39,23.55,34.47,38.15,37.89,42.03,41.74,42.68,40.1,41,37.4,13.76,34.12,34.36,38.9,41.31,40.16,39.95,38.81,35.56,28.66,2.81,13.53,25.24,37.05,37.68,37.65,37.09,36.88,28.33,14.7,40.026944,0.694444,75,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
28.49,40.88,41.78,43.11,42.88,42.07,42.82,42.27,40.88,30.07,34.11,42.39,42.64,42.97,42.83,43.15,42.1,43.22,39.5,35.79,38.15,42.02,42.71,43.63,44.04,44,43.14,43.32,42.9,39.43,38.2,41.77,42.96,44.06,40.81,40.99,42.98,41.43,42.5,39.28,38.68,40.88,43.12,42.48,43.45,41.37,43.78,40.87,42.47,39.57,39.47,41.03,42.45,41,41.38,42.02,41.46,42.41,41.2,40.76,38.6,41.24,43.62,42.44,42.5,42.81,41.83,40.01,41,40.15,37.87,42.08,41.08,43.26,41.82,43.07,42.31,42.64,42.24,38.32,38.26,40.23,43.89,44.58,42.92,43.04,42.13,42.85,40.89,41.04,38.56,42.31,43.63,41.5,43.07,43.41,44.24,42.12,41.28,40.56,38.97,41.75,43.24,40.4,43.87,42.4,41.26,43.94,39.55,39.43,39.54,42.45,42.69,43.17,43.54,43.84,40.63,42.96,41.77,40.22,33.98,41.51,42.77,41.39,43.29,42.76,42.68,38.29,41.59,40.13,32.59,39.39,42.08,43.44,42.8,43.65,43.01,40.63,42.6,36.8,32.58,38.39,42.24,40.78,42.19,42.6,42.17,42.61,41.91,37.4,30.64,30.78,39.92,40.78,41.16,37.77,42.81,41.61,40.22,35.99,12.82,31.23,38.98,37.98,39.58,39.29,41.18,37.37,33.32,29.25,4.21,27.34,29.13,35.18,37.03,36.04,37.44,35.54,33.93,16.67,40.058778,0.705556,90,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
19.36,32.99,38.41,38.49,38.79,36.2,35.22,34.11,19.11,9.16,33.32,35.78,40.61,41.88,41.47,40.56,40.22,36.16,35.66,21.32,34.87,40.03,42.4,40.68,40.84,42.13,41.02,40.38,38.81,32,39.08,41.02,41.48,42.75,41.88,40.22,42.16,41.07,38.9,34.9,39.66,41.29,43.34,42.13,44.01,42.49,40.92,40.15,41.5,33.57,38.23,40,43.04,41.74,44.01,43.17,42.79,41.14,41.08,38.86,41.62,41.13,41.91,44.1,42.59,44.44,42.51,42.75,40.73,36.21,39.63,41.89,40.66,42.49,43.65,43.55,43.62,42.21,42.55,38.64,40.19,41.23,43.21,42.25,43.5,43.12,40.78,43.39,43.2,39.58,39.45,40.73,43.13,41.08,43.78,44.29,43.89,43.07,43.41,38.14,36.68,42.43,43.2,43.66,41.8,42.69,42.77,41.79,41.99,36.5,41.66,42.83,41.66,42.2,42.97,43.63,43.86,40.98,39.44,37.83,39.74,41.38,41.22,42.66,42.51,43.93,44.08,40.47,40.86,39.84,37.41,41.18,42.44,44.45,43.49,44.3,41.37,43.3,42.66,39.47,39.08,42.69,41.89,43.24,43.7,42.59,43.52,42.65,41.69,36.78,38.97,42.33,40.8,43.7,43.03,41.93,43.44,43.98,42,36.88,36.36,40.83,43.74,42.9,43.24,42.56,43.23,41.61,41.88,35.86,32.87,40.05,42.11,40.8,42,41.96,42.26,42.72,39.02,26.18,40.395889,0.727778,105,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
14.7,32.13,38.57,37.5,40.45,37.1,34.97,32.2,20.78,7.89,27.08,33.81,38.92,40.71,40.18,40.61,39.12,38.84,35.05,18.26,36.5,41.45,42.75,41.46,42.4,41.32,41.34,40.58,39.2,30.75,36.22,41.21,40.02,43.37,42.57,42.53,40.48,42.07,39.01,37.8,39.01,39.98,42.01,43.72,43.28,43.07,42.93,40.89,41.63,33.63,40.53,40.82,42.87,43.53,41.74,43.62,41.99,42.73,40.21,37.5,40.03,40.78,43.95,43.96,43.04,43.48,43,42.6,39.54,35.18,40.67,42.18,43.24,42.42,43.14,43.38,43.96,42.88,42.63,37.84,41.4,42.73,40.31,42.85,43.3,44.32,44.87,43.21,41.74,39.19,40.57,41.12,43.44,43.33,43.38,43.11,43.34,43.21,40.43,39.3,39.92,39.51,41.96,42.12,43.06,44.21,43.23,39.98,41.87,34.81,38.79,40.25,42.47,43.46,43.12,41.38,44.25,43.22,40.11,40.27,40.97,41.68,42.64,43.92,42.41,43.05,43.13,41.97,41.38,39.34,39.69,43.11,42.07,44.12,44.19,43.13,43.89,43.45,42.35,37.52,39.3,42.69,43.76,44.42,44.19,44.47,42.89,41.77,42.05,38.29,38.78,40.33,43.31,42.84,43.78,43.38,42.49,43.28,42.16,36.08,37.5,42.1,41.84,41.38,43.12,42.97,42.75,43.39,41.39,34.65,34.21,40.33,42.27,42.76,42.56,41.5,42.01,42.59,39.57,30.3,40.456056,0.733333,120,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
